Reg,St,Site Name                                                                ,,Site ID,EPA ID,Address,City,Zip,County,,,FF?,Latitude,Longitude,Final Date,,
_01_,NH,TROY MILLS LANDFILL,,_0101127_,NHD980520217,OFF ROCKWOOD POND ROAD ,TROY,03465,CHESHIRE,,,N,_+42.802580_,_-072.186940_ ,09/29/03,,
_01_,RI,CENTRAL LANDFILL,,_0101277_,RID980520183,65 SHUN PIKE ,JOHNSTON,02919,PROVIDENCE,,,N,_+41.808330_,_-071.534710_ ,06/10/86,,
_01_,RI,CENTREDALE MANOR RESTORATION PROJECT,,_0101388_,RID981203755,2072 AND 2074 SMITH STREET (ROUTE 44) ,NORTH PROVIDENCE,02911,PROVIDENCE,,,N,_+41.857660_,_-071.487250_ ,02/04/00,,
_01_,RI,DAVIS LIQUID WASTE,,_0101283_,RID980523070,TARKILN RD ,SMITHFIELD,02828,PROVIDENCE,,,N,_+41.922210_,_-071.577760_ ,09/08/83,,
_01_,RI,DAVISVILLE NAVAL CONSTRUCTION BATTALION CENTER,,_0101430_,RI6170022036,OFF SANFORD RD. ,NORTH KINGSTOWN,02818,WASHINGTON,,,Y,_+41.609500_,_-071.474220_ ,11/21/89,,
_01_,RI,"LANDFILL & RESOURCE RECOVERY, INC. (L&RR)",,_0101265_,RID093212439,OXFORD RD ,NORTH SMITHFIELD,02876,PROVIDENCE,,,N,_+41.979500_,_-071.589000_ ,09/08/83,,
_01_,RI,NEWPORT NAVAL EDUCATION & TRAINING CENTER,,_0101431_,RI6170085470,DEFENSE HIGHWAY (BURMA RD.) ,NEWPORT,02871,NEWPORT,,,Y,_+41.564450_,_-071.293460_ ,11/21/89,,
_01_,RI,"PETERSON/PURITAN, INC.",,_0101247_,RID055176283,MARTIN ST ,LINCOLN/CUMBERLAND,02864,PROVIDENCE,,,N,_+41.929580_,_-071.426800_ ,09/08/83,,
_01_,RI,PICILLO FARM,,_0101284_,RID980579056,PERRY HILL RD ,COVENTRY,02816,KENT,,,N,_+41.671660_,_-071.709160_ ,09/08/83,,
_01_,RI,ROSE HILL REGIONAL LANDFILL,,_0101279_,RID980521025,ROSE HILL RD ,SOUTH KINGSTOWN,02880,WASHINGTON,,,N,_+41.470830_,_-071.491660_ ,10/04/89,,
_01_,RI,"STAMINA MILLS, INC.",,_0101291_,RID980731442,MAIN ST ,NORTH SMITHFIELD,02824,PROVIDENCE,,,N,_+41.996400_,_-071.564700_ ,09/08/83,,
_01_,RI,WEST KINGSTON TOWN DUMP/URI DISPOSAL AREA,,_0101322_,RID981063993,PLAINS ROAD ,SOUTH KINGSTOWN,02881,WASHINGTON,,,N,_+41.496660_,_-071.535270_ ,10/14/92,,
_01_,RI,WESTERN SAND & GRAVEL,,_0101233_,RID009764929,DOUGLAS PIKE ,BURRILLVILLE,02895,PROVIDENCE,,,N,_+41.972700_,_-071.595000_ ,09/08/83,,
_01_,VT,BENNINGTON MUNICIPAL SANITARY LANDFILL,,_0101493_,VTD981064223,OFF HOUGHTON LANE ,BENNINGTON,05201,BENNINGTON,,,N,_+42.922210_,_-073.197780_ ,03/31/89,,
_01_,VT,BFI SANITARY LANDFILL (ROCKINGHAM),,_0101475_,VTD980520092,RTE 5 ,ROCKINGHAM,05101,WINDHAM,,,N,_+43.226380_,_-072.439710_ ,10/04/89,,
_01_,VT,BURGESS BROTHERS LANDFILL,,_0101450_,VTD003965415,RTE 9 ,WOODFORD,05201,BENNINGTON,,,N,_+42.878060_,_-073.150130_ ,03/31/89,,
_01_,VT,COMMERCE STREET PLUME,,_0101470_,VTD098352545,15 COMMERCE AVENUE ,WILLISTON,05495,CHITTENDEN,,,N,_+44.452580_,_-073.121380_ ,04/27/05,,
_01_,VT,ELIZABETH MINE,,_0102071_,VTD988366621,MINE ROAD ,STRAFFORD,05070,ORANGE,,,N,_+43.823880_,_-072.328880_ ,06/14/01,,
_01_,VT,ELY COPPER MINE,,_0102065_,VTD988366571,TOWN HIGHWAY 38 ,VERSHIRE,05079,ORANGE,,,N,_+43.927440_,_-072.285500_ ,09/13/01,,
_01_,VT,"JARD COMPANY, INC.",,_0102282_,VTD048141741,259 BOWEN ROAD ,BENNINGTON,05201,BENNINGTON,,,N,_+42.888861_,_-73.189111_ ,09/22/14,,
_01_,VT,OLD SPRINGFIELD LANDFILL,,_0101437_,VTD000860239,WILL DEAN RD ,SPRINGFIELD,05156,WINDSOR,,,N,_+43.272780_,_-072.466660_ ,09/08/83,,
_01_,VT,PARKER SANITARY LANDFILL,,_0101491_,VTD981062441,LILY POND RD. ,LYNDON,05849,CALEDONIA,,,N,_+44.518610_,_-071.989430_ ,02/21/90,,
_01_,VT,PIKE HILL COPPER MINE,,_0102121_,VTD988366720,PIKE HILL ROAD ,CORINTH,05039,ORANGE,,,N,_+44.057330_,_-072.306910_ ,07/22/04,,
_01_,VT,PINE STREET CANAL,,_0101479_,VTD980523062,PINE STREET ,BURLINGTON,05401,CHITTENDEN,,,N,_+44.466660_,_-073.218060_ ,09/08/83,,
_01_,VT,POWNAL TANNERY,,_0101463_,VTD069910354,ROUTE 346 ,POWNAL,05261,BENNINGTON,,,N,_+42.797160_,_-073.265750_ ,01/19/99,,
_02_,NJ,A. O. POLYMER,,_0200290_,NJD030253355,F4 STATION ROAD ,SPARTA TOWNSHIP,07871,SUSSEX,,,N,_+41.048050_,_-074.630000_ ,09/08/83,,
_02_,NJ,AMERICAN CYANAMID CO,,_0200144_,NJD002173276,EASTON TURNPIKE ,BOUND BROOK,08805,SOMERSET,,,N,_+40.555560_,_-074.559450_ ,09/08/83,,
_02_,NJ,ATLANTIC RESOURCES,,_0201116_,NJD981558430,120 HORSESHOE ROAD ,SAYREVILLE,08872,MIDDLESEX,,,N,_+40.486110_,_-074.319440_ ,09/05/02,,
_02_,NJ,BOG CREEK FARM,,_0200397_,NJD063157150,SQUANRUM RD. (MONMOUTH CO. RT. 547) ,HOWELL TOWNSHIP,07727,MONMOUTH,,,N,_+40.150830_,_-074.161110_ ,09/08/83,,
_02_,NJ,BRICK TOWNSHIP LANDFILL,,_0200540_,NJD980505176,SALLY IKE ROAD ,BRICK TOWNSHIP,08723,OCEAN,,,N,_+40.109800_,_-074.131100_ ,09/08/83,,
_02_,NJ,BRIDGEPORT RENTAL & OIL SERVICES,,_0200364_,NJD053292652,CEDAR SWAMP RD ,BRIDGEPORT,08014,GLOUCESTER,,,N,_+39.801660_,_-075.321660_ ,09/08/83,,
_02_,NJ,BROOK INDUSTRIAL PARK,,_0200450_,NJD078251675,100 WEST MAIN STREET ,BOUND BROOK,08805,SOMERSET,,,N,_+40.560130_,_-074.536110_ ,10/04/89,,
_02_,NJ,BURNT FLY BOG,,_0200528_,NJD980504997,TYLERS LANE ,MARLBORO TOWNSHIP,07746,MONMOUTH,,,N,_+40.375000_,_-074.279160_ ,09/08/83,,
_02_,NJ,CALDWELL TRUCKING CO.,,_0200340_,NJD048798953,222 PASSAIC AVENUE ,FAIRFIELD,07004,ESSEX,,,N,_+40.876380_,_-074.271380_ ,09/08/83,,
_02_,NJ,CHEMICAL CONTROL,,_0200037_,NJD000607481,23 SOUTH FRONT ST ,ELIZABETH,07202,UNION,,,N,_+40.643200_,_-074.193500_ ,09/08/83,,
_02_,NJ,CHEMICAL INSECTICIDE CORP.,,_0200517_,NJD980484653,30 WHITMAN AV ,EDISON TOWNSHIP,08817,MIDDLESEX,,,N,_+40.527400_,_-074.368000_ ,08/30/90,,
_02_,NJ,"CHEMICAL LEAMAN TANK LINES, INC.",,_0200327_,NJD047321443,CEDAR SWAMP & COOPER RDS ,BRIDGEPORT,08014,GLOUCESTER,,,N,_+39.798330_,_-075.332780_ ,09/21/84,,
_02_,NJ,"CHEMSOL, INC.",,_0200607_,NJD980528889,FLEMING ST ,PISCATAWAY,08854,MIDDLESEX,,,N,_+40.562500_,_-074.443330_ ,09/08/83,,
_02_,NJ,CIBA-GEIGY CORP.,,_0200078_,NJD001502517,RTE #37 ,TOMS RIVER,08753,OCEAN,,,N,_+39.986700_,_-074.236300_ ,09/08/83,,
_02_,NJ,CINNAMINSON TOWNSHIP (BLOCK 702) GROUND WATER CONTAMINATION,,_0200995_,NJD980785638,1017 UNION LANDING ROAD 1017 UNION LANDING ROAD,CINNAMINSON TOWNSHIP,08077,BURLINGTON,,,N,_+40.017500_,_-074.986200_ ,06/10/86,,
_02_,NJ,COMBE FILL SOUTH LANDFILL,,_0200489_,NJD094966611,PARKER ROAD- BOX 418 ,CHESTER TOWNSHIP,07930,MORRIS,,,N,_+40.771660_,_-074.738330_ ,09/08/83,,
_02_,NJ,CORNELL DUBILIER ELECTRONICS INC.,,_0201112_,NJD981557879,333 HAMILTON BLVD ,SOUTH PLAINFIELD,07080,MIDDLESEX,,,N,_+40.576380_,_-074.414160_ ,07/28/98,,
_02_,NJ,COSDEN CHEMICAL COATINGS CORP.,,_0200022_,NJD000565531,CHERRY STREET ,BEVERLY,08010,BURLINGTON,,,N,_+40.058180_,_-074.925890_ ,07/22/87,,
_02_,NJ,CPS/MADISON INDUSTRIES,,_0200109_,NJD002141190,WATERWORKS ROAD ,OLD BRIDGE TOWNSHIP,08857,MIDDLESEX,,,N,_+40.434430_,_-074.327760_ ,09/08/83,,
_02_,NJ,"CURCIO SCRAP METAL, INC.",,_0200273_,NJD011717584,416 LANZA AVE ,SADDLE BROOK TWP,07662,BERGEN,,,N,_+40.890700_,_-074.103500_ ,07/22/87,,
_02_,NJ,"CURTIS SPECIALTY PAPERS, INC",,_0203733_,NJD057143984,404 FRENCHTOWN ROAD ,MILFORD,08848,HUNTERDON,,,N,_+40.560128_,_-075.08_ ,09/23/09,,
_02_,NJ,D'IMPERIO PROPERTY,,_0200639_,NJD980529416,RTE 322 ,HAMILTON TOWNSHIP,08330,ATLANTIC,,,N,_+39.454430_,_-074.658880_ ,09/08/83,,
_02_,NJ,DAYCO CORP./L.E CARPENTER CO.,,_0200136_,NJD002168748,170 N MAIN STREET ,WHARTON BOROUGH,07885,MORRIS,,,N,_+40.903330_,_-074.577500_ ,07/22/87,,
_02_,NJ,DE REWAL CHEMICAL CO.,,_0200792_,NJD980761373,DELAWARE RIVER DR ,KINGWOOD TOWNSHIP,08825,HUNTERDON,,,N,_+40.516200_,_-075.061400_ ,09/21/84,,
_02_,NJ,DIAMOND ALKALI CO.,,_0200613_,NJD980528996,80 LISTER AVE ,NEWARK,07105,ESSEX,,,N,_+40.739710_,_-074.136110_ ,09/21/84,,
_02_,NJ,DIAMOND HEAD OIL REFINERY DIV.,,_0200484_,NJD092226000,1401 HARRISON TURNPIKE ,KEARNY,07032,HUDSON,,,N,_+40.747220_,_-074.132190_ ,09/05/02,,
_02_,NJ,DOVER MUNICIPAL WELL 4,,_0200768_,NJD980654131,272 ROUTE46 ,DOVER,07801,MORRIS,,,N,_+40.885800_,_-074.542300_ ,09/08/83,,
_02_,NJ,ELLIS PROPERTY,,_0200620_,NJD980529085,SHARP ROAD ,EVESHAM TOWNSHIP,08053,BURLINGTON,,,N,_+39.905000_,_-074.864710_ ,09/08/83,,
_02_,NJ,EMMELL'S SEPTIC LANDFILL,,_0200986_,NJD980772727,128 ZURICH AVE ,GALLOWAY TOWNSHIP,08215,ATLANTIC,,,N,_+39.500690_,_-074.543610_ ,07/22/99,,
_02_,NJ,EVOR PHILLIPS LEASING,,_0200776_,NJD980654222,OLD WATER WORKS ROAD ,OLD BRIDGE TOWNSHIP,08857,MIDDLESEX,,,N,_+40.437500_,_-074.325000_ ,09/08/83,,
_02_,NJ,EWAN PROPERTY,,_0200791_,NJD980761365,WALLINGFORD WAY ,SHAMONG TOWNSHIP,08088,BURLINGTON,,,N,_+39.802780_,_-074.719430_ ,09/21/84,,
